Qubit,T1_us,T2_us,Frequency_GHz,Readout_assignment_error_,Prob_meas0_prep1_,Prob_meas1_prep0_,Readout_length_ns,ID_error_,One,One_pred,RSE
47,168.78483653232675,145.46043511231494,4.769546051062734,0.014404296875,0.0224609375,0.00634765625,1300,0.0001752618252349,132.0,186,2916.0
48,16.76432751632367,41.18631939038451,4.844174130977653,0.014892578125,0.01806640625,0.01171875,1300,0.0006335960413638,249.0,148,10201.0
49,351.7357301442432,58.843242286468126,4.697334178531343,0.011962890625,0.01025390625,0.013671875,1300,0.000352306215152,110.0,216,11236.0
50,320.47543079154235,40.80047975091985,4.784045823807964,0.037841796875,0.05810546875,0.017578125,1300,0.0004500099028258,203.0,414,44521.0
51,242.8219176129084,248.64670153360203,4.931195890435299,0.03759765625,0.03759765625,0.03759765625,1300,0.0001731565990265,323.0,389,4356.0
52,236.4157278483183,205.37631888169145,4.915262183027959,0.0146484375,0.0166015625,0.0126953125,1300,0.0001779661316809,121.0,206,7225.0
53,259.5979178647079,285.1372214832216,4.996581168703469,0.019287109375,0.0107421875,0.02783203125,1300,0.0002059268970075,110.0,248,19044.0
54,250.42518869989163,148.61881978928722,4.969571487102852,0.015869140625,0.0166015625,0.01513671875,1300,0.0002737785011681,207.0,219,144.0
55,272.23355106684454,122.7113971308805,4.837202474432625,0.013671875,0.009765625,0.017578125,1300,0.0002336246124248,252.0,207,2025.0
56,225.2430920871339,119.11044454207914,4.814521932599633,0.022216796875,0.01318359375,0.03125,1300,0.0004014664958619,230.0,262,1024.0
57,241.6969392783784,159.29958001052495,4.927650736666513,0.01318359375,0.01513671875,0.01123046875,1300,0.0003248654598372,114.0,196,6724.0
58,296.9435082646281,218.17113225145172,4.886984046781581,0.013671875,0.01220703125,0.01513671875,1300,0.0001183574234031,108.0,214,11236.0
59,283.6612619529604,39.33243161514659,4.971241191776968,0.032958984375,0.00927734375,0.056640625,1300,0.000129037943633,194.0,362,28224.0
60,299.675989503493,115.87917117807716,4.766262626464136,0.025634765625,0.029296875,0.02197265625,1300,0.0003270133139661,209.0,310,10201.0
61,260.1402852273853,137.87782643388073,4.793795363140834,0.01171875,0.015625,0.0078125,1300,0.0004384133417992,131.0,189,3364.0
62,235.3515991088969,197.76086891716685,4.935222562929848,0.017333984375,0.005859375,0.02880859375,1300,0.0001899685858585,319.0,226,8649.0
63,267.91011711147246,183.08754126266712,5.041621214683695,0.013916015625,0.0107421875,0.01708984375,1300,0.0002056479126565,139.0,208,4761.0
64,264.0524178930716,188.7504035607823,4.82156798653124,0.00634765625,0.00732421875,0.00537109375,1300,0.0001643937458987,112.0,147,1225.0
65,250.24742620791145,85.05038985193659,4.957160408304546,0.013916015625,0.0078125,0.02001953125,1300,0.0002987836351897,144.0,203,3481.0
66,236.5562005469825,172.6913333678056,4.885009719865577,0.0126953125,0.013671875,0.01171875,1300,0.0006400542366349,129.0,190,3721.0
67,197.21898070581028,148.74605600661062,5.113927890654797,0.038330078125,0.048828125,0.02783203125,1300,0.0002264003004973,498.0,384,12996.0
68,183.5761811924717,27.305257138386683,4.743731762990616,0.13427734375,0.23974609375,0.02880859375,1300,0.0003552070962202,501.0,1149,419904.0
69,158.33120934578153,132.78497131006625,5.117671999331766,0.0107421875,0.009765625,0.01171875,1300,0.0003296274470528,84.0,154,4900.0
70,227.77890493156303,142.7202916053215,4.898858601235684,0.07666015625,0.06787109375,0.08544921875,1300,0.0002163384831178,1380.0,694,470596.0
71,306.32044549857744,326.09665162034844,4.788272895785985,0.011474609375,0.0126953125,0.01025390625,1300,0.0001305884984403,91.0,200,11881.0
72,222.46432258580293,151.81132979205185,5.059184594427598,0.018310546875,0.0146484375,0.02197265625,1300,0.0001888971010978,174.0,231,3249.0
73,239.44324501368044,78.17671543769684,4.979585121204528,0.010009765625,0.00927734375,0.0107421875,1300,0.0003651725385901,228.0,170,3364.0
74,183.4188364551142,96.0099424849965,5.031458244759104,0.02490234375,0.0146484375,0.03515625,1300,0.0004498163903409,146.0,272,15876.0
