Qubit,T1 (us),Frequency (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,ID error ,One
101,276.5235626643449,4.724308219711096,0.04345703125,0.02880859375,0.05810546875,0.0001581448913829,1172
102,225.3247855595162,4.604310380873692,0.01806640625,0.01611328125,0.02001953125,0.0001480563169808,406
103,172.6940594696137,4.66431916309191,0.003173828125,0.0048828125,0.00146484375,0.0001803190424492,14
104,161.9973698833167,4.8022354978554045,0.0078125,0.00537109375,0.01025390625,0.0005394608759763,133
105,217.70928073160155,4.739906593885702,0.005615234375,0.01025390625,0.0009765625,0.000755889060716,23
106,70.08541235407526,4.710465892488404,0.052001953125,0.04345703125,0.060546875,0.0008902846343492,1144
107,225.62792758283976,4.615496056414743,0.01171875,0.00634765625,0.01708984375,0.0002620836076751,32
108,322.98047452826125,4.546233673651259,0.017822265625,0.03125,0.00439453125,0.0017251026052664,73
109,138.48014827677616,4.875210681436829,0.439208984375,0.78369140625,0.0947265625,5.57558096282e-05,2461
110,321.6274870710471,4.805823550888853,0.008544921875,0.01318359375,0.00390625,0.0003499397736175,180
111,191.20217860865876,4.768733351355297,0.016845703125,0.0107421875,0.02294921875,0.0002753227675555,476
112,388.5613704559296,4.583650599140704,0.008544921875,0.00634765625,0.0107421875,0.0001873429210062,129
113,249.6362501556543,4.655641986762446,0.046630859375,0.02978515625,0.0634765625,0.0001384276995192,1197
114,243.8691179800792,4.781730232913424,0.017333984375,0.01171875,0.02294921875,0.0004606786590696,569
115,191.59219549827876,4.709538344550475,0.0048828125,0.00537109375,0.00439453125,0.0002149089648227,71
116,196.56407452589085,4.9588982480030905,0.008544921875,0.01513671875,0.001953125,0.0005829400083796,56
117,201.3739961777135,4.831597791446016,0.021484375,0.0224609375,0.0205078125,0.0001972017201343,343
118,153.58478419392642,4.749127864029245,0.028076171875,0.05322265625,0.0029296875,0.0012369467063443,37
119,313.98271217119253,4.610748344938629,0.005859375,0.00732421875,0.00439453125,0.0001924169382376,24
120,279.92367805919906,4.500652888703265,0.050537109375,0.03759765625,0.0634765625,9.46070558437e-05,953
121,200.01422239148613,4.620331726828746,0.513671875,0.5458984375,0.4814453125,9.24564185671e-05,10046
122,243.99477197778876,4.688042718398373,0.0146484375,0.015625,0.013671875,0.0001117922191305,233
123,195.11222121284564,4.730567686386789,0.1240234375,0.1123046875,0.1357421875,0.0003769952694316,2544
124,339.311922523457,4.635038334774788,0.004638671875,0.00537109375,0.00390625,0.000162424317746,115
125,334.8232303003824,4.737116491365798,0.00927734375,0.00830078125,0.01025390625,0.000609042401067,138
126,343.4454171119353,4.702936478040438,0.01513671875,0.01025390625,0.02001953125,0.0001701345666369,391
