Unnamed:_0,Qubit,T1_us,T2_us,Readout_assignment_error_,Prob_meas0_prep1_,Prob_meas1_prep0_,x_sx_error_,P_Value,Zero,One,Quality,abs,abs_pred,RSE
78,39,479.4938591258113,59.70017862709077,0.0053999999999999,0.008,0.0028,0.0009304982638291,6.795346249460123e-06,19550,20450,0,900,513,149769
79,39,483.4137225482638,67.42686637406638,0.010009765625,0.0146484375,0.00537109375,0.0011112661171307,6.334248366623993e-05,19600,20400,0,800,629,29241
80,40,337.3254197904221,32.608481067193914,0.019287109375,0.029296875,0.00927734375,0.0006658792618911,3.136831525299893e-11,20664,19336,0,1328,867,212521
81,40,383.02857490914784,30.514822129904285,0.0057,0.0078,0.0036,0.0002337033562573,0.0004001270320146,20354,19646,0,708,524,33856
82,41,291.4894407662841,466.0764009444199,0.008,0.0136,0.0024,9.25694630195e-05,1.6395967912902659e-09,20603,19397,0,1206,583,388129
83,41,290.2414667123466,380.4882364584848,0.00390625,0.0048828125,0.0029296875,0.0001369076791353,0.0393985408187538,20206,19794,1,412,479,4489
84,42,205.4471863214168,82.25441035769879,0.0031999999999999,0.0054,0.001,0.000159784669073,0.000207259247348,20371,19629,0,742,461,78961
85,42,283.23425009827747,79.70553005998471,0.002197265625,0.0029296875,0.00146484375,0.0001708036336303,0.0168483727986913,20239,19761,1,478,435,1849
86,43,316.58631167489835,243.64277209290512,0.00244140625,0.0029296875,0.001953125,0.0001554790372631,0.0348583558753142,20211,19789,1,422,442,400
87,43,296.5571325974068,185.6937292001305,0.005,0.0082,0.0018,0.000200214286542,3.956591173644813e-05,20411,19589,0,822,506,99856
88,44,40.8672850153776,47.17494507706752,0.0724,0.1108,0.034,0.0007281440743607,3.2933615104448766e-90,22014,17986,0,4028,2215,3286969
89,44,39.69521016980303,68.3005344813996,0.061767578125,0.07080078125,0.052734375,0.0006410913717374,6.183963137912374e-06,19548,20452,0,904,1946,1085764
90,45,259.9404817933517,106.77627857432144,0.0028,0.005,0.0006,0.0002106559414299,0.5754794376980541,20056,19944,1,112,450,114244
91,45,226.9641046870836,135.30753161165268,0.0048828125,0.0048828125,0.0048828125,0.0001978502496521,1.695100397136569e-07,20523,19477,0,1046,503,294849
92,46,369.1163126264596,65.87074531771347,0.00390625,0.00439453125,0.00341796875,0.0005694031232303,0.0003569812278096,20357,19643,0,714,477,56169
93,46,402.5889666546907,54.21561836444542,0.0080999999999999,0.0144,0.0018,0.0015583019958972,0.0208881541239021,20231,19769,1,462,578,13456
94,47,382.95928050822,113.3214745703488,0.038818359375,0.02685546875,0.05078125,0.001017780240402,0.9760670531717748,20003,19997,1,6,1361,1836025
95,47,352.1670927515764,118.86781989218264,0.0256999999999999,0.038,0.0134,0.0023504998384085,7.550325809418211e-104,22164,17836,0,4328,1021,10936249
96,48,287.6713075816916,84.03723882608601,0.00390625,0.005859375,0.001953125,0.0002050934362658,0.6030635750939324,19948,20052,1,104,479,140625
97,48,277.1079513657119,83.5146618473864,0.0059,0.0116,0.0002,0.000327616582212,8.411393609044058e-09,20576,19424,0,1152,529,388129
98,49,75.74210716475224,70.49181483833824,0.024,0.0382,0.0098,0.0006387194828518,2.1519080920820827e-32,21185,18815,0,2370,987,1912689
99,49,232.89342563742764,78.99620754834899,0.016845703125,0.01611328125,0.017578125,0.0002263825024575,8.583637417235957e-11,20649,19351,0,1298,807,241081
100,50,284.2040759075488,93.2450733831118,0.007,0.0086,0.0054,0.0001492907456387,0.010169851497982,20257,19743,1,514,557,1849
101,50,373.507132808728,89.31684600261572,0.006103515625,0.0087890625,0.00341796875,0.0001690641294492,0.0750759606970336,20178,19822,1,356,535,32041
102,51,257.80816089543686,70.28682559650808,0.0611,0.0636,0.0586,0.0002059141647595,1.5828953244886477e-13,19262,20738,0,1476,1931,207025
103,51,257.80816089543686,73.98682233210822,0.058349609375,0.0517578125,0.06494140625,0.0001969247301152,1.9731752900754024e-09,19400,20600,0,1200,1861,436921
104,52,318.9619849940503,39.45160759764023,0.1062999999999999,0.1022,0.1104,0.0006265670669034,8.99588777713582e-06,20444,19556,0,888,3076,4787344
105,52,289.8840118276489,33.810877632179384,0.093505859375,0.087890625,0.09912109375,0.0004467187878395,2.57388894786028e-15,20791,19209,0,1582,2752,1368900
106,53,391.3459219852715,513.7918019772176,0.0087890625,0.0078125,0.009765625,0.0001176309001583,0.0702957871680776,20181,19819,1,362,603,58081
107,53,308.7278040747683,403.8892267957536,0.0043999999999999,0.0068,0.002,0.0001238513631203,8.677790054356159e-13,20715,19285,0,1430,492,879844
108,54,302.46170045346724,18.026000275562804,0.0107421875,0.01220703125,0.00927734375,0.0002406773299573,0.3421122526169637,20095,19905,1,190,652,213444
109,54,395.3411062960901,21.475145259320545,0.0128,0.014,0.0116,0.0003860810496375,0.00560562926553,20277,19723,0,554,703,22201
110,55,166.84510817412897,36.552515349844654,0.0098,0.0184,0.0012,0.0003204606637055,1.700501643095016e-08,20564,19436,0,1128,628,250000
111,55,357.1161090057925,42.144531061604525,0.02734375,0.02490234375,0.02978515625,0.0001377291214908,0.0949193636058946,20167,19833,1,334,1074,547600
112,56,180.6980995857901,239.4020673680928,0.0078125,0.01318359375,0.00244140625,0.0003347842737957,1.722106556232591e-16,20824,19176,0,1648,577,1147041
113,56,252.7676216934641,325.328600148518,0.0056,0.0088,0.0024,0.0005827426861536,2.6156330265284825e-10,20632,19368,0,1264,520,553536
114,57,260.5170626943087,55.891498844340944,0.005615234375,0.00927734375,0.001953125,0.0004308096791631,5.912736310751832e-14,20751,19249,0,1502,521,962361
115,57,325.41439955162525,45.39351933600224,0.0052999999999999,0.0086,0.002,0.0007870638989866,1.595533215336655e-17,20852,19148,0,1704,511,1423249
116,58,268.3215994955801,44.53255083269776,0.0048828125,0.00537109375,0.00439453125,0.0005912960816771,0.0042364100808092,20286,19714,0,572,501,5041
117,58,268.4054656704171,38.23945273659752,0.0059,0.0086,0.0032,0.0006261133169421,1.4551963645180758e-10,20641,19359,0,1282,527,570025
118,59,322.7154051717627,90.22591922849612,0.0078125,0.0068359375,0.0087890625,0.0001885712186463,0.2460488061026868,20116,19884,1,232,578,119716
119,59,302.66356727472123,81.40676409227983,0.0023999999999999,0.0038,0.001,0.0001649691890019,0.1868350179869436,20132,19868,1,264,441,31329
120,60,267.4837088322658,393.3572294478523,0.0053999999999999,0.0064,0.0044,0.0001133848697405,0.2713321218927653,20110,19890,1,220,517,88209
121,60,273.038109686163,449.95737430428704,0.00927734375,0.0166015625,0.001953125,0.0001593658435641,4.503570077705088e-05,20408,19592,0,816,615,40401
122,61,307.51754275427044,172.13936217736517,0.0146484375,0.0107421875,0.0185546875,0.0002192863439092,0.2301393404434166,20120,19880,1,240,751,261121
123,61,329.0200361877782,144.72637081963748,0.0174999999999999,0.032,0.003,0.000255982155983,0.0010018738275714,20329,19671,0,658,823,27225
124,62,287.10008549526685,26.973170940958774,0.0458984375,0.037109375,0.0546875,0.0006862939039704,0.4901941873486189,20069,19931,1,138,1542,1971216
125,62,259.1189678306923,25.43177661958888,0.027,0.03,0.024,0.0005837113120032,4.717642619374492e-18,20866,19134,0,1732,1063,447561
126,63,188.82752787332217,169.07567220404547,0.00341796875,0.0048828125,0.001953125,0.0004465806588605,1.4248271602990688e-05,20434,19566,0,868,465,162409
127,63,295.56363154654804,171.28902505873484,0.004,0.0054,0.0026,0.0002883842534131,2.5537068827469948e-05,20421,19579,0,842,481,130321
128,64,238.34578009384333,39.90751653698997,0.00439453125,0.00732421875,0.00146484375,0.0002218226419547,0.0001914797705378,20373,19627,0,746,491,65025
129,64,313.7637463583261,37.18866163803872,0.0071999999999999,0.0116,0.0028,0.0002553783234537,0.0403644308114088,20205,19795,1,410,562,23104
130,65,271.9780273965405,359.76823556323126,0.0021999999999999,0.0044,0.0,0.0002079426842358,0.003731626600768,20290,19710,0,580,435,21025
131,65,304.50386780018,432.5222714321606,0.014892578125,0.0126953125,0.01708984375,0.0001595588062125,0.3575727592287434,20092,19908,1,184,758,329476
132,66,273.12710655528247,87.8284766062824,0.0163999999999999,0.0162,0.0166,0.0013313433024483,8.148160911710163e-05,20394,19606,0,788,790,4
133,66,368.5414334641853,100.39722573991445,0.016357421875,0.0146484375,0.01806640625,0.001581173670396,0.047703528683017,19802,20198,1,396,788,153664
134,67,245.1382465075397,73.908107136938,0.0139,0.0202,0.0076,0.0004491330035967,6.686036238902877e-19,20888,19112,0,1776,731,1092025
135,67,270.23254829586847,84.09293131745733,0.009765625,0.0078125,0.01171875,0.0001996132772816,0.0006262113571624,20342,19658,0,684,627,3249
136,68,364.7503753481034,95.14978908555318,0.017578125,0.0205078125,0.0146484375,0.0002094703105392,0.0002242540519644,20369,19631,0,738,826,7744
137,68,247.84393006546088,89.17377512254086,0.0152999999999999,0.014,0.0166,0.0002413384242235,8.99588777713582e-06,20444,19556,0,888,768,14400
138,69,305.5324263077249,103.83626143043412,0.004638671875,0.00244140625,0.0068359375,0.0001463196991432,1.0376725203684869e-07,20532,19468,0,1064,497,321489
139,69,192.54959970005345,91.94431928872974,0.0029,0.0048,0.001,0.0002633581866426,0.0032821224683139,20294,19706,0,588,453,18225
140,70,283.9413510019432,72.35346534108756,0.0050999999999999,0.009,0.0012,0.0002027976935862,0.0003061970051475,20361,19639,0,722,509,45369
141,70,317.9991373410623,69.14902399101443,0.00390625,0.00439453125,0.00341796875,0.000173654537704,1.440554016193195e-07,20526,19474,0,1052,479,328329
