Unnamed:_0,Qubit,T1_us,T2_us,Readout_assignment_error_,Prob_meas0_prep1_,Prob_meas1_prep0_,_x_sx_error_,P_Value,Zero,One,Quality,abs,P_Value_pred,RSE
71,35,316.3074967024734,162.78309672726076,0.015380859375,0.01123046875,0.01953125,0.0002137411655768,4.0258331209983336e-09,9584,10416,0,832,0.1692357975552501,0.028640753811531455
72,36,137.6752875519037,199.1870372830564,0.0234999999999999,0.0122,0.0348,0.0001942662132049,0.0037419039555431,9795,10205,0,410,0.18495491778589981,0.03283815638148105
73,36,314.3919119961733,321.6621525939768,0.01171875,0.0107421875,0.0126953125,0.0001541707803795,0.343372297699695,9933,10067,1,134,0.17182958503121276,0.02942690226966146
74,37,163.87786768234994,111.51958587534926,0.014,0.008,0.02,0.0001591393024009,0.8541328851643043,9987,10013,1,26,0.18781451961446627,0.4439801642690076
75,37,218.94861274492885,115.3501760778438,0.009521484375,0.00927734375,0.009765625,0.0002041424106492,0.170129706964333,9903,10097,1,194,0.18367338479025933,0.0001834312090524886
76,38,180.6057853386509,125.70839750543348,0.0207,0.0206,0.0208,0.0002537688304751,0.5716076449533316,9960,10040,1,80,0.18127549040823726,0.1523591908718154
77,38,361.1224902313194,148.7370245801475,0.016845703125,0.02001953125,0.013671875,0.0001686289197716,0.8209881868018943,10016,9984,1,32,0.1642990500736456,0.43124062229689264
78,39,197.5799002990383,122.65697825828302,0.0537109375,0.07666015625,0.03076171875,0.0005978562129862,0.003576538210304,9794,10206,0,412,0.1575786660425707,0.02371665537686582
79,39,326.04710546743013,116.96129348926732,0.0631,0.015,0.1112,0.0002295790966674,1.764925498294882e-27,9232,10768,0,1536,0.13765352659815958,0.018948493384910226
80,40,260.39794013471175,29.96169074861419,0.0121,0.0118,0.0124,0.0001553159094285,0.1338564133648919,9894,10106,1,212,0.17720284206019069,0.0018789128806366217
81,40,148.6326259388869,27.48317491569151,0.01513671875,0.02001953125,0.01025390625,0.000303750120587,0.4883317388114769,10049,9951,1,98,0.18887371407225143,0.08967510858071856
82,41,222.75931420476184,311.1431416381917,0.00732421875,0.00634765625,0.00830078125,0.0004842596519683,1.7929472507489907e-10,9549,10451,0,902,0.18434833647772247,0.033984309095998214
83,41,139.644259078749,135.19879067306215,0.0111999999999999,0.0176,0.0048,0.0002681654857437,0.0227931634173814,10161,9839,1,322,0.1925440205748577,0.02881535350569792
84,42,214.9839375095677,151.4920110662227,0.011962890625,0.01171875,0.01220703125,0.0001579255091859,0.5620309098445605,9959,10041,1,82,0.18263767765430408,0.14393922463176984
85,42,262.057206173568,147.05548105977508,0.0082999999999999,0.0076,0.009,0.0001673448393004,0.1302267028364134,9893,10107,1,214,0.1794465598184316,0.0024225943213303253
86,43,344.95093936790244,259.41524596689703,0.036,0.0106,0.0614,0.0002940613306225,8.951971162476658e-05,9723,10277,0,554,0.1532756200858918,0.023465981347875014
87,43,331.7402607251488,128.1248826335814,0.015380859375,0.015625,0.01513671875,0.0002835212679403,0.0022528477627923,9784,10216,0,432,0.16771856887511438,0.027378904863220747
88,44,308.66405778441754,19.15563144479496,0.026123046875,0.0107421875,0.04150390625,0.0002837085934998,0.734299941046208,9976,10024,1,48,0.16301142179992636,0.3263705722226091
89,44,274.83280061623645,20.989648502944377,0.0178,0.018,0.0176,0.0006335972692559,0.0042805485478079,10202,9798,0,404,0.171496806159058,0.02796127680951195
90,45,102.98731307735318,21.88068915250893,0.060546875,0.0576171875,0.0634765625,0.0005042727290379,0.0023613929626746,10215,9785,0,430,0.1646207193604951,0.026328089003074453
91,45,175.0572866534028,26.943689894687424,0.0504999999999999,0.04,0.061,0.000489863171324,7.118517524345974e-08,9619,10381,0,762,0.16262189723508202,0.026445858307806137
92,46,302.2657362102225,181.2055747783264,0.0247,0.0394,0.01,0.0004839145008253,0.6610918496892098,10031,9969,1,62,0.16436495930917555,0.2467376036266185
93,46,290.24365676460724,250.49212523751825,0.016357421875,0.01904296875,0.013671875,0.0002822575388783,0.0039141904876804,10204,9796,0,408,0.17113833908501724,0.02796391587410419
94,47,128.65172030773795,116.28837036719212,0.0113999999999999,0.0118,0.011,0.0002492082350824,0.0096531948669693,10183,9817,0,366,0.19373878515648266,0.03388750455223857
95,47,168.78483653232675,145.46043511231494,0.014404296875,0.0224609375,0.00634765625,0.0001752618252349,0.6206179464376897,9965,10035,1,70,0.18691115238350114,0.18810158320876236
96,48,211.9676452337584,83.43121491310072,0.0157,0.015,0.0164,0.0002088411588674,0.4707563801588296,10051,9949,1,102,0.18056159879893258,0.08421301112851844
97,48,16.76432751632367,41.18631939038451,0.014892578125,0.01806640625,0.01171875,0.0006335960413638,0.7449774004077269,9977,10023,1,46,0.19658806234490117,0.3007308661009842
98,49,351.7357301442432,58.843242286468126,0.011962890625,0.01025390625,0.013671875,0.000352306215152,0.1572992070502852,9900,10100,1,200,0.16806098592952157,0.00011581588464557819
99,49,368.45746620419743,58.91577968992095,0.0088,0.0086,0.009,0.0002395226980741,6.27497460547707e-05,10283,9717,0,566,0.16878397099340894,0.028466850499198636
100,50,320.47543079154235,40.80047975091985,0.037841796875,0.05810546875,0.017578125,0.0004500099028258,5.198131035156984e-09,10413,9587,0,826,0.154185336783015,0.023773116475940614
101,50,323.15601260175265,40.52824889729639,0.0142999999999999,0.0146,0.014,0.0003802472579601,0.0051079996131864,10198,9802,0,396,0.16911768415398212,0.02689917662317133
102,51,242.8219176129084,248.64670153360203,0.03759765625,0.03759765625,0.03759765625,0.0001731565990265,0.004888586800383,10199,9801,0,398,0.1628175754567069,0.024941565458009275
103,51,266.97764859603586,263.9818411346945,0.0185999999999999,0.0282,0.009,0.0004440670652592,1.1272892291416868e-10,10456,9544,0,912,0.17202046578611546,0.029591040610488763
104,52,236.4157278483183,205.37631888169145,0.0146484375,0.0166015625,0.0126953125,0.0001779661316809,8.328213537204746e-08,10379,9621,0,758,0.17830273405046598,0.031791835271013265
105,52,133.03833632753395,124.86643338054108,0.0155999999999999,0.0142,0.017,0.0002321239600403,1.2519781699243164e-11,9521,10479,0,958,0.19054533522105052,0.03630752476973134
106,53,98.69109651084143,192.79688703800105,0.1247,0.1752,0.0742,0.0016294278843945,0.0819498958732386,10123,9877,1,246,0.12271558751757591,0.001661841615241193
107,53,259.5979178647079,285.1372214832216,0.019287109375,0.0107421875,0.02783203125,0.0002059268970075,8.96956555326501e-06,9686,10314,0,628,0.17262787546317437,0.02979728667329177
108,54,246.30607705839176,115.96313056693208,0.0154999999999999,0.0146,0.0164,0.0003097778407972,0.0005891976143057,10243,9757,0,486,0.1764718273697156,0.030934699449678596
109,54,250.42518869989163,148.61881978928722,0.015869140625,0.0166015625,0.01513671875,0.0002737785011681,0.0896860217703646,9880,10120,1,240,0.1757956872003491,0.007414874480463869
110,55,272.23355106684454,122.7113971308805,0.013671875,0.009765625,0.017578125,0.0002336246124248,0.1100293296370377,9887,10113,1,226,0.17481536365752032,0.004197230204103132
111,55,242.89624900693187,117.34509831481432,0.0108,0.0134,0.0082,0.000264318513348,0.2888443663464849,10075,9925,1,150,0.1799298660798962,0.011862368368320754
112,56,287.32106882090744,146.52395276996384,0.0158,0.0132,0.0184,0.0001804942543718,0.0133283287808175,10175,9825,1,350,0.17189766855115723,0.02514423551520145
