Qubit,T1_us,T2_us,Frequency_GHz,Readout_assignment_error_,Prob_meas0_prep1_,Prob_meas1_prep0_,ID_error_,One,One_pred,RSE
107,285.30005177494047,96.35627405615313,4.916031885176845,0.017578125,0.0166015625,0.0185546875,0.0002283530219252,363,219,20736
108,162.4824736148021,186.29784176636,5.056205686584466,0.013671875,0.01806640625,0.00927734375,0.0002300633357382,174,169,25
109,217.1551460675939,203.33653363652823,4.984975711077484,0.0224609375,0.02099609375,0.02392578125,0.0002510396587055,434,286,21904
110,187.2461885943557,242.52155295932087,4.830169495309351,0.0146484375,0.01513671875,0.01416015625,0.0004024340008595,208,193,225
111,258.45442570023374,310.8556502258023,4.853177115239781,0.013427734375,0.013671875,0.01318359375,0.000164153665099,198,167,961
112,132.53065883455864,27.973983146181983,5.002440101475162,0.005126953125,0.005859375,0.00439453125,0.0002017533376762,93,75,324
113,182.41606637665424,203.592858614812,5.031998013688977,0.01025390625,0.013671875,0.0068359375,0.0002442033569171,111,125,196
114,340.59412110967816,54.06061597339939,4.822465360906,0.15234375,0.138671875,0.166015625,0.0001090629883317,2906,2578,107584
115,203.2848182663578,88.92697213154244,5.028018614631692,0.012939453125,0.01025390625,0.015625,0.0002652275301295,304,184,14400
116,316.2365358276142,371.4470446625182,4.9127418205242295,0.015625,0.0107421875,0.0205078125,0.0001179003480168,223,209,196
117,249.40702314157545,250.81155224375703,4.8331246821616105,0.015625,0.01220703125,0.01904296875,0.0002372533832219,246,212,1156
118,110.61645403444844,151.05288329360144,4.732973548530305,0.005615234375,0.005859375,0.00537109375,0.0003751949766211,68,87,361
119,9.941314519029865,134.77341949544987,4.802589550581098,0.01806640625,0.0224609375,0.013671875,0.0002868983258286,361,238,15129
120,266.2538308673068,264.4087795100383,4.83661684898145,0.015380859375,0.01611328125,0.0146484375,0.0003534851861452,318,187,17161
121,289.10777895466816,323.46908750176067,4.967924832613705,0.021484375,0.0244140625,0.0185546875,0.0002763060848094,322,247,5625
122,172.4188010855366,154.58983071846063,4.937578373187825,0.02294921875,0.02490234375,0.02099609375,0.0002860529402004,351,283,4624
123,197.6961343319257,142.5552996639191,5.034333422554303,0.01708984375,0.01904296875,0.01513671875,0.0004460671404985,167,214,2209
124,221.6121758636837,229.3253713880074,4.949163545523971,0.0146484375,0.01171875,0.017578125,0.0001749732542607,180,202,484
125,157.95433641918513,156.96471123810178,4.859126201587496,0.009765625,0.009765625,0.009765625,0.0003139437557283,154,140,196
126,178.4520450949626,124.5911957053401,4.908243771924405,0.007568359375,0.00732421875,0.0078125,0.0001488795467243,135,108,729
