Unnamed:_0,Qubit,T1_us,T2_us,Readout_assignment_error_,Prob_meas0_prep1_,Prob_meas1_prep0_,x_sx_error_,P_Value,Zero,One,Quality,abs,abs_pred,RSE
72,36,137.6752875519037,199.1870372830564,0.0234999999999999,0.0122,0.0348,0.0001942662132049,0.2056129376436554,39821,40179,1,358,1870,2286144
73,36,314.3919119961733,321.6621525939768,0.01171875,0.0107421875,0.0126953125,0.0001541707803795,0.0020985801428367,39565,40435,0,870,1101,53361
74,37,163.87786768234994,111.51958587534926,0.014,0.008,0.02,0.0001591393024009,0.0819498958732386,39754,40246,1,492,1310,669124
75,37,218.94861274492885,115.3501760778438,0.009521484375,0.00927734375,0.009765625,0.0002041424106492,0.0304837909066643,39694,40306,1,612,1005,154449
76,38,180.6057853386509,125.70839750543348,0.0207,0.0206,0.0208,0.0002537688304751,6.862272175808052e-05,40563,39437,0,1126,1538,169744
77,38,361.1224902313194,148.7370245801475,0.016845703125,0.02001953125,0.013671875,0.0001686289197716,0.1053882085104401,39771,40229,1,458,1258,640000
78,39,197.5799002990383,122.65697825828302,0.0537109375,0.07666015625,0.03076171875,0.0005978562129862,2.6259123525653823e-14,38923,41077,0,2154,2734,336400
79,39,326.04710546743013,116.96129348926732,0.0631,0.015,0.1112,0.0002295790966674,1.981765491257469e-75,37401,42599,0,5198,4456,550564
80,40,260.39794013471175,29.96169074861419,0.0121,0.0118,0.0124,0.0001553159094285,0.5620309098445605,39918,40082,1,164,1105,885481
81,40,148.6326259388869,27.48317491569151,0.01513671875,0.02001953125,0.01025390625,0.000303750120587,0.4080585814071574,39883,40117,1,234,1202,937024
82,41,222.75931420476184,311.1431416381917,0.00732421875,0.00634765625,0.00830078125,0.0004842596519683,1.319192882928226e-12,38997,41003,0,2006,1037,938961
83,41,139.644259078749,135.19879067306215,0.0111999999999999,0.0176,0.0048,0.0002681654857437,0.0883572994199394,40241,39759,1,482,975,243049
84,42,214.9839375095677,151.4920110662227,0.011962890625,0.01171875,0.01220703125,0.0001579255091859,0.024991861795654,39683,40317,1,634,1099,216225
85,42,262.057206173568,147.05548105977508,0.0082999999999999,0.0076,0.009,0.0001673448393004,0.2608858707953834,39841,40159,1,318,943,390625
86,43,344.95093936790244,259.41524596689703,0.036,0.0106,0.0614,0.0002940613306225,7.496339239067425e-13,38986,41014,0,2028,2774,556516
87,43,331.7402607251488,128.1248826335814,0.015380859375,0.015625,0.01513671875,0.0002835212679403,3.5405781416764277e-09,39165,40835,0,1670,1299,137641
88,44,308.66405778441754,19.15563144479496,0.026123046875,0.0107421875,0.04150390625,0.0002837085934998,0.2490811516577325,39837,40163,1,326,2111,3186225
89,44,274.83280061623645,20.989648502944377,0.0178,0.018,0.0176,0.0006335972692559,0.305219376214592,40145,39855,1,290,1558,1607824
